NAME,D_KM,D_KM_ERRPLUS,D_KM_ERRMIN,RHO_GCC,RHO_GCC_ERRPLUS,RHO_GCC_ERR_MINUS,SOURCE
(134340) Pluto, 2374,8,-8, 1.860, 0.013,-0.013, Stern et al. (2015)
(136199) Eris, 2326, 12,-12, 2.52, 0.05,-0.05, Sicardy et al. (2011)
(134340) I Charon, 1212, 6,-6, 1.702, 0.021,-0.021, Stern et al. (2015)
(50000) Quaoar, 1110, 5,-5, 1.99, 0.46,-0.46, Braga-Ribas et al. (2013)
(90482) Orcus, 958.4, 22.9,-22.9, 1.53, 0.15, -0.13, Fornasier et al. (2013)
(120347) Salacia, 901, 45,-45, 1.29,0.29,-0.23, Fornasier et al. (2013)
(174567) Varda, 792,91,-84,1.27,0.41,-0.44, Vilenius et al. (2014)
(55637) 2002 UX25, 692,23,-23, 0.82,0.11,-0.11, Brown (2013)
(47171) 1999 TC36, 393.1,25.2,-26.8,0.64,0.15,-0.11, Mommert et al. (2012)
(79360) Sila-Nunama, 343, 42,-42, 0.73,0.28,-0.28, Vilenius et al. (2012)
(148780) Altjira, 331,51,-187, 0.30,0.50,-0.14, Vilenius et al. (2014)
2001 QC298, 303,27,-30, 1.14,0.34,-0.30, Vilenius et al. (2014)
(26308) 1998 SM165, 279.8,29.7,-28.6,0.51,0.29,-0.14, Stansberry et al. (2008); Spencer et al. (2006)
(65489) Ceto, 281, 11,-11, 0.64,0.16,-0.13, Santos-Sanz et al. (2012)
(275809) 2001 QY297, 229,22,-108,0.92,1.30,-0.27, Vilenius et al. (2014)
2001 XR254, 221,41,-71, 1.00,0.96,-0.56, Vilenius et al. (2014)
(88611) Teharonhiawako, 220,41,-44, 0.60,0.36,-0.33, Vilenius et al. (2014)
(66652) Borasisia, 163,32,-66, 2.1,2.60,-1.2, Vilenius et al. (2014)
(42355) Typhona, 157, 34,-34, 0.60,0.72,-0.29, Stansberry et al. (2012)
