# Figure 5 of Tatsuuma et al. (2019)
# initial_volume_filling_factor tensile_strength_(Pa) error_of_tensile_strength_(Pa)
0.01 204.538642663 74.1427765083
0.0125892541179 246.139589913 99.4919777777
0.0158489319246 352.757579499 96.5327170168
0.0199526231497 564.670968838 183.096433005
0.0251188643151 759.306497574 267.291852933
0.0316227766017 1156.66892838 419.584928486
0.0398107170553 1708.51832555 407.9002505
0.0501187233627 2609.51401364 757.088908324
0.063095734448 3657.89839488 823.7412218
0.0794328234724 5444.85279418 1078.49049004
0.1 7996.99666626 1886.37186332
0.125892541179 12249.530595 2119.28566291
0.158489319246 18544.4729192 2358.52958294
0.199526231497 29584.0431597 3283.83767276
0.251188643151 48147.2327963 3543.48799745
0.316227766017 80608.8251328 3006.96099051
0.398107170553 135775.415266 6031.30394467
0.501187233627 212539.831036 6962.73868158
